,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2023-10-11,1567.62,1578.43,1544.26,1566.87,260253.97,260253.97,-0.75
2023-10-12,1566.86,1568.56,1521.0,1539.61,237221.5,237221.5,-27.25
2023-10-13,1539.61,1575.36,1537.76,1552.16,192205.87,192205.87,12.550000000000182
2023-10-14,1552.16,1561.72,1544.55,1554.94,100314.68,100314.68,2.7799999999999727
2023-10-15,1554.94,1567.62,1547.44,1557.77,120311.27,120311.27,2.8299999999999272
2023-10-16,1557.78,1639.43,1555.06,1599.42,418510.86,418510.86,41.6400000000001
2023-10-17,1599.41,1600.53,1551.08,1565.01,234817.07,234817.07,-34.40000000000009
2023-10-18,1565.01,1585.42,1555.88,1563.44,177750.23,177750.23,-1.5699999999999363
2023-10-19,1563.45,1574.45,1541.61,1566.57,216217.67,216217.67,3.119999999999891
2023-10-20,1566.57,1630.4,1561.19,1603.89,315995.79,315995.79,37.320000000000164
2023-10-21,1603.88,1644.53,1592.36,1628.94,176419.41,176419.41,25.059999999999945
2023-10-22,1628.94,1667.8,1621.1,1663.7,228650.92,228650.92,34.75999999999999
2023-10-23,1663.69,1800.0,1657.07,1765.46,610931.97,610931.97,101.76999999999998
2023-10-24,1765.47,1854.38,1756.21,1784.98,674055.14,674055.14,19.50999999999999
2023-10-25,1784.98,1817.69,1760.0,1787.15,354410.83,354410.83,2.1700000000000728
2023-10-26,1787.15,1865.54,1762.21,1803.38,431169.05,431169.05,16.230000000000018
2023-10-27,1803.39,1803.91,1744.66,1779.4,274532.69,274532.69,-23.99000000000001
2023-10-28,1779.41,1803.23,1770.0,1776.2,122919.74,122919.74,-3.2100000000000364
2023-10-29,1776.21,1811.3,1762.66,1795.14,144110.65,144110.65,18.930000000000064
2023-10-30,1795.14,1829.84,1777.77,1809.04,277686.19,277686.19,13.899999999999864
2023-10-31,1809.03,1819.41,1780.99,1814.67,258074.58,258074.58,5.6400000000001
