,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD)
2023-04-02,92.57,94.58,90.36,92.77,641228.63,641228.63
2023-04-03,92.77,95.90,89.51,92.97,909253.99,909253.99
2023-04-04,92.97,94.12,91.57,92.58,505371.32,505371.32
2023-04-05,92.57,95.05,91.11,92.64,690226.20,690226.20
2023-04-06,92.63,92.65,89.82,90.97,385392.36,385392.36
2023-04-07,90.97,91.48,89.03,90.60,301548.41,301548.41
2023-04-08,90.60,91.44,89.24,89.91,199093.07,199093.07
2023-04-09,89.91,91.03,89.13,90.58,253822.75,253822.75
2023-04-10,90.56,94.47,89.84,93.78,522079.99,522079.99
2023-04-11,93.78,97.00,93.15,94.22,759225.86,759225.86
2023-04-12,94.22,94.66,90.87,92.06,713535.20,713535.20
2023-04-13,92.07,94.54,91.66,94.17,607464.04,607464.04
2023-04-14,94.18,99.27,93.66,96.33,1044641.04,1044641.04
2023-04-15,96.31,97.32,94.71,96.68,343222.29,343222.29
2023-04-16,96.69,102.18,95.10,100.01,902441.24,902441.24
2023-04-17,100.00,100.30,97.32,98.84,692952.16,692952.16
2023-04-18,98.88,103.44,97.60,101.95,817576.05,817576.05
2023-04-19,101.93,101.93,87.00,90.47,1258566.96,1258566.96
2023-04-20,90.46,92.40,87.08,90.22,923591.76,923591.76
2023-04-21,90.22,90.89,84.20,85.32,811762.12,811762.12
2023-04-22,85.32,87.15,84.75,87.00,413059.80,413059.80
2023-04-23,87.00,87.09,84.11,86.75,395182.07,395182.07
2023-04-24,86.74,89.03,85.86,88.31,651422.32,651422.32
2023-04-25,88.32,91.77,87.18,91.03,767570.94,767570.94
2023-04-26,91.03,93.96,84.21,88.13,985517.50,985517.50
2023-04-27,88.14,90.64,87.26,89.73,669510.16,669510.16
2023-04-28,89.73,90.36,87.66,89.63,464509.68,464509.68
2023-04-29,89.62,91.64,89.23,91.08,351205.82,351205.82
2023-04-30,91.08,91.43,87.76,88.22,396494.58,396494.58
2023-05-01,88.24,88.86,85.13,86.75,537906.62,537906.62
2023-05-02,86.76,89.18,86.00,88.20,425254.87,425254.87
2023-05-03,88.20,89.86,85.40,88.88,561552.26,561552.26
2023-05-04,88.88,89.15,87.39,88.38,317092.93,317092.93
2023-05-05,88.39,89.69,86.16,88.61,462767.03,462767.03
2023-05-06,88.62,89.36,80.56,83.26,808799.89,808799.89
2023-05-07,83.27,84.69,82.93,83.42,405461.48,405461.48
2023-05-08,83.41,85.25,75.20,77.71,1093958.20,1093958.20
2023-05-09,77.72,80.10,77.31,79.90,652411.76,652411.76
2023-05-10,79.91,82.04,77.12,80.93,862747.00,862747.00
2023-05-11,80.93,81.97,78.37,80.88,787875.50,787875.50
2023-05-12,80.89,81.48,77.07,80.45,770849.13,770849.13
2023-05-13,80.45,81.09,79.78,80.26,378311.77,378311.77
2023-05-14,80.26,84.02,79.55,83.50,475081.38,475081.38
2023-05-15,83.49,88.50,82.14,86.89,1110552.09,1110552.09
2023-05-16,86.91,90.55,86.13,89.99,1212427.88,1212427.88
2023-05-17,89.99,95.00,89.59,93.88,1631954.24,1631954.24
2023-05-18,93.88,94.21,89.15,90.43,778910.55,778910.55
2023-05-19,90.44,93.31,90.26,91.80,674615.43,674615.43
2023-05-20,91.78,92.78,90.21,92.42,331961.72,331961.72
2023-05-21,92.41,93.49,91.14,92.18,434485.44,434485.44
2023-05-22,92.17,92.79,89.81,90.83,462506.23,462506.23
2023-05-23,90.83,93.11,90.38,91.70,437608.28,437608.28
2023-05-24,91.70,91.89,84.33,85.82,1241381.96,1241381.96
2023-05-25,85.83,86.79,82.54,86.57,836219.14,836219.14
2023-05-26,86.57,88.20,86.05,87.08,684744.48,684744.48
2023-05-27,87.08,88.81,86.91,88.55,335522.42,335522.42
2023-05-28,88.56,92.35,88.14,91.45,582851.73,582851.73
2023-05-29,91.46,92.18,90.12,90.86,484868.11,484868.11
2023-05-30,90.86,93.30,90.51,92.25,553236.45,553236.45
2023-05-31,92.25,92.72,87.50,90.42,730322.07,730322.07
2023-06-01,90.42,95.98,89.17,94.19,1356811.01,1356811.01
2023-06-02,94.17,95.70,92.58,95.45,714015.96,714015.96
2023-06-03,95.45,97.56,94.15,96.03,596590.88,596590.88
2023-06-04,96.03,96.50,93.80,94.19,492464.07,492464.07
2023-06-05,94.19,94.58,83.56,87.71,1320394.36,1320394.36
2023-06-06,87.70,91.47,85.64,90.92,836859.77,836859.77
2023-06-07,90.93,91.31,87.34,88.85,691677.15,691677.15
2023-06-08,88.83,89.53,87.19,88.50,405790.61,405790.61
2023-06-09,88.49,89.98,86.66,89.30,437545.53,437545.53
2023-06-10,89.30,89.34,73.56,77.13,1931078.31,1931078.31
2023-06-11,77.14,78.98,76.15,77.68,601244.43,601244.43
